
Opening Error Output File (ERROR.TXT) on Tue Mar 18 08:38:10.630, 2025


columns = 32, rows = 32
col_vstep = 129.032257, row_vstep = 129.032257
col_tstep=8.225806, row_tstep=8.225806
num_vertices = 1024, num_polys = 1922
Vertex 299: V[-580.645142, 16.470589, -838.709717], T[90.483871, 74.032257]
Vertex 300: V[-451.612915, 13.725491, -838.709717], T[98.709671, 74.032257]
Vertex 301: V[-322.580658, 19.215687, -838.709717], T[106.935478, 74.032257]
Vertex 302: V[-193.548401, 63.137257, -838.709717], T[115.161285, 74.032257]
Vertex 303: V[-64.516144, 63.137257, -838.709717], T[123.387093, 74.032257]
Vertex 304: V[64.516113, 65.882355, -838.709717], T[131.612900, 74.032257]
Vertex 305: V[193.548370, 65.882355, -838.709717], T[139.838699, 74.032257]
Vertex 306: V[322.580627, 63.137257, -838.709717], T[148.064514, 74.032257]
Vertex 307: V[451.612885, 19.215687, -838.709717], T[156.290314, 74.032257]
Vertex 308: V[580.645142, 107.058823, -838.709717], T[164.516129, 74.032257]
Vertex 309: V[709.677368, 197.647064, -838.709717], T[172.741928, 74.032257]
Vertex 310: V[838.709656, 238.823532, -838.709717], T[180.967743, 74.032257]
Vertex 311: V[967.741943, 280.000000, -838.709717], T[189.193542, 74.032257]
Vertex 312: V[1096.774170, 285.490204, -838.709717], T[197.419342, 74.032257]
Vertex 313: V[1225.806396, 241.568634, -838.709717], T[205.645157, 74.032257]
Vertex 314: V[1354.838623, 197.647064, -838.709717], T[213.870956, 74.032257]
Vertex 315: V[1483.870972, 107.058823, -838.709717], T[222.096771, 74.032257]
Vertex 316: V[1612.903198, 63.137257, -838.709717], T[230.322571, 74.032257]
Vertex 317: V[1741.935425, 21.960785, -838.709717], T[238.548386, 74.032257]
Vertex 318: V[1870.967773, 8.235294, -838.709717], T[246.774185, 74.032257]
Vertex 319: V[2000.000000, 2.745098, -838.709717], T[255.000000, 74.032257]
